blockhash,time_sent,peer_id,tcp_window_size,received_size,received_bytes_missing,received_tx_missing,send_size,prefill_size,window_bytes_used,window_bytes_available,rtts_without_prefill
0000000000000000000024d2e2c929248aba772545d2501c48ede42b4257b33d,2025-06-24 11:05:11,10,9800,10736,0,0,9549,-1187,936,8864,1
00000000000000000001b5ae8155cfee787890fef32f40bb1f1e54894ce963da,2025-06-24 11:50:03,1,14480,19013,0,0,18580,-433,4533,9947,1
00000000000000000001a59a81dfd17c0f9bdf81ae2a88d8bbd734cf37c7fe98,2025-06-24 13:32:41,14,11616,24424,0,0,23570,-854,1192,10424,2
000000000000000000002000b664e913bad49a1fe45e74100944e0954c94637b,2025-06-24 18:03:05,1,14480,24590,0,0,23739,-851,10110,4370,1
000000000000000000001c520423ef8c9dfb961dc174abf959403c8733a91bc1,2025-06-24 21:31:10,1,14480,19493,0,0,18584,-909,5013,9467,1
00000000000000000001d6054ab405241681de95a7dee212181c0c2c215b18c8,2025-06-24 23:06:07,1,14480,9014,0,0,8493,-521,9014,5466,0
000000000000000000002d5c97bcc262e4ed568fdb835cc4924d43ccab973eb1,2025-06-25 01:59:45,10,14000,18560,0,0,17877,-683,4560,9440,1
00000000000000000001641c2d0fb9fd947b679a8feb7c7e06b231d1b82f61e4,2025-06-25 02:53:34,1,14480,17194,0,0,17194,0,2714,11766,1
00000000000000000001641c2d0fb9fd947b679a8feb7c7e06b231d1b82f61e4,2025-06-25 02:53:34,9,14400,17194,0,0,17194,0,2794,11606,1
00000000000000000001490b65c0b8f5040fea485deb41c264befd64ba3bf969,2025-06-25 02:56:34,298,14280,19027,0,0,19027,0,4747,9533,1
0000000000000000000101d6870c49d9c4fbf758de619683ba41df2bc667755b,2025-06-25 04:04:40,10,14000,11541,0,0,11541,0,11541,2459,0
000000000000000000005e541447c3a676f00aeb4adde57d02b2dbb6b93cc51e,2025-06-25 08:36:56,1,14480,23934,0,0,22630,-1304,9454,5026,1
00000000000000000001388df2ae127608ba17ca11cc23f8da7335adb95efeb0,2025-06-25 09:46:34,1,14480,19464,0,0,19245,-219,4984,9496,1
000000000000000000004fddf009c5eee4b9885d69b152c3e6e1dd43b89c8e26,2025-06-25 10:15:40,10,12600,25565,0,0,22770,-2795,365,12235,2
000000000000000000013ba7f863ac5eeb128821865f5b9ef65b4d0925386cdc,2025-06-25 10:32:21,1,14480,20639,0,0,20639,0,6159,8321,1
000000000000000000018739b85949736cc877d1e136aadd670ccf74a8b14e2c,2025-06-25 12:27:58,298,14280,19524,0,0,19524,0,5244,9036,1
00000000000000000000f3632271f29a13ebad5a60ba19b58f49bb3051775418,2025-06-25 14:19:13,11,14600,15562,0,0,15562,0,962,13638,1
00000000000000000000f3632271f29a13ebad5a60ba19b58f49bb3051775418,2025-06-25 14:19:13,10,14000,15562,0,0,15562,0,1562,12438,1
00000000000000000002078b0e377e8545b94635753c4bb6be7e37e52c158c49,2025-06-25 17:17:40,10,14000,23974,0,0,23494,-480,9974,4026,1
00000000000000000000bcca0c138b0fcc3f38684dc48c9080d73f78404229cb,2025-06-25 18:26:52,10,14000,22087,0,0,21775,-312,8087,5913,1
000000000000000000012dbec1d77f547e053e3def532a0ec7c07b1bbdf0c76e,2025-06-25 18:48:46,1,14480,25972,0,0,24394,-1578,11492,2988,1
000000000000000000006c4845f7d54133012e2c2073bbfcd731dc99516e2696,2025-06-25 21:16:29,298,14280,15245,0,0,15245,0,965,13315,1
00000000000000000000743fd6a2d526a71c52ff336ae4080627a9613b826d86,2025-06-26 01:11:37,10,14000,17547,0,0,17547,0,3547,10453,1
000000000000000000009264d6bc1688809d47bd157c822f2f1a9d14ddc0c234,2025-06-26 08:53:26,9,14400,31093,0,0,30753,-340,2293,12107,2
00000000000000000001cb25a82585e16d6ed88dd9c9b53b3b59c8a7591449ec,2025-06-26 10:41:31,1,14480,23819,0,0,23380,-439,9339,5141,1
00000000000000000001cb25a82585e16d6ed88dd9c9b53b3b59c8a7591449ec,2025-06-26 10:41:31,298,14280,23819,0,0,23380,-439,9539,4741,1
0000000000000000000180924ed5328277133ac6f43bd8704094d948b39024be,2025-06-26 12:21:15,298,4284,19008,0,0,19008,0,1872,2412,4
